mr,ref
"give_opinion(name[Age of Wonders II: The Wizard's Throne], developer[Triumph Studios], rating[poor])",Age of Wonders II: The Wizard's Throne was a poor effort from Triumph Studios.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], developer[Triumph Studios], rating[poor])",I rather disliked Age of Wonders II: The Wizard's Throne. Triumph Studios is just a terrible developer and it shows in the game.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], developer[Triumph Studios], rating[poor])","I really wanted to like Age of Wonders II: The Wizard's Throne, but Triumph Studios made it and I end up hating all of their games."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], genres[role-playing, turn-based strategy])",I didn't enjoy Age of Wonders II: The Wizard's Throne. I just can't seem to get into turn-based strategy games that also include role-playing elements.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], genres[role-playing, turn-based strategy])",Age of Wonders II: The Wizard's Throne is an all around poor example of a turn-based strategy RPG game.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], genres[role-playing, turn-based strategy])",Role-playing games that are turn-based strategy are all played out. Take for example Age of Wonders II: The Wizard's Throne; it's so boring.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])","Age of Wonders II: The Wizard's Throne doesn't have a Mac release, but that's OK since it's not a good game anyway."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])","Age of Wonders II: The Wizard's Throne didn't come to Mac, but that's alright, because the game is pretty terrible anyway."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])",I really hated that Age of Wonders II: The Wizard's Throne didn't have a version for Mac. I had to borrow my brother's laptop to play.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], player_perspective[bird view])",I absolutely hate bird view perspective games like Age of Wonders II: The Wizard's Throne. I can't even see what my character is doing.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], player_perspective[bird view])",Age of Wonders II: The Wizard's Throne is an overall poor game that even manages to mess up the bird view.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], player_perspective[bird view])",I didn't enjoy Age of Wonders II: The Wizard's Throne at all. It's because I just can't stand the bird view perspective the game used.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor])","I hate playing older games like Age of Wonders II: The Wizard's Throne. It's from 2002, why not play something new?"
"give_opinion(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor])",I thought that Age of Wonders II: The Wizard's Throne was released too early in 2002. It felt rushed and I didn't enjoy it.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor])","Age of Wonders II: The Wizard's Throne was a pretty poor game. I'm not sure what was going on in 2002 but all the games released that year are bad, and sadly Age of Wonders II was no exception."
