mr,ref
"request_explanation(rating[average], genres[driving/racing, simulation], player_perspective[first person])",Why do you find first person driving/racing simulators to be just okay?
"request_explanation(developer[Slightly Mad Studios], rating[average], platforms[PC])",What makes you feel that Slightly Mad Studios lineup of PC games is merely average in quality?
"request_explanation(rating[average], genres[driving/racing, simulation], available_on_steam[yes])",Why do you think the driving/racing simulators on Steam are okay but nothing great?
"request_explanation(rating[average], player_perspective[first person], platforms[PC])",What is it about first person games on the PC that causes you to find them just so-so?
"request_explanation(developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation])",Why do you say that Slightly Mad Studios driving/racing simulators are okay but don't stand out from the crowd?
"request_explanation(rating[poor], genres[text adventure], available_on_steam[yes])",Why is it you dislike Steam text adventure games so much?
"request_explanation(developer[Red Entertainment Corporation], rating[poor], platforms[PC])",Why is it you don't like Red Entertainment Corporation's PC games?
"request_explanation(release_year[2017], rating[poor], genres[text adventure])",So why don't you like the text adventure games that have been released in 2017?
"request_explanation(rating[poor], has_multiplayer[no], platforms[PC])",Why is it that you don't like single-player only PC games?
"request_explanation(rating[poor], genres[text adventure], platforms[PC])",What is it about PC text adventures games that ruffles your feathers so much?
"request_explanation(developer[Ninja Theory], esrb[M (for Mature)], rating[excellent])",Why are Ninja Theory's M rated games some of the games you love most of all?
"request_explanation(rating[excellent], genres[adventure, hack-and-slash, indie], player_perspective[third person])",What is it about indie third person hack-and-slash adventure games that makes you find them so thrilling to play?
"request_explanation(developer[Ninja Theory], rating[excellent], player_perspective[third person])",Why do you absolutely love Ninja Theory's third person video games?
"request_explanation(release_year[2017], rating[excellent], platforms[PC])",What is it about the PC games released in 2017 that makes you love them so much?
"request_explanation(developer[Ninja Theory], rating[excellent], genres[adventure, hack-and-slash, indie])",Why do you think that Ninja Theory's indie hack-and-slash adventure games are some of the best you ever played?
"request_explanation(rating[excellent], player_perspective[third person], available_on_steam[yes])",Can you tell me why you have such a strong preference for third person perspective games available on Steam?
"request_explanation(developer[Square], rating[excellent], player_perspective[third person])",What is it about Square's third person perspective games that you find so amazing?
