mr,ref
"recommend(name[Worms: Reloaded], esrb[E 10+ (for Everyone 10 and Older)], platforms[PC])",Worms: Reloaded is a nice PC game for anyone 10 and older. Do you know of it?
"recommend(name[Worms: Reloaded], genres[action, platformer, strategy], player_perspective[side view])","For side view platformers that combine both action and strategy, you can't go wrong with Worms: Reloaded. Have you heard about it?"
"recommend(name[Worms: Reloaded], has_linux_release[yes], has_mac_release[yes])","So, you're into games with both a Mac and a Linux release. Have you heard about Worms: Reloaded?"
"recommend(name[Worms: Reloaded], player_perspective[side view], has_multiplayer[yes])","For multiplayer games with a side view perspective, I've enjoyed Worms: Reloaded. Do you know about this game?"
"recommend(name[Worms: Reloaded], developer[Team17 Digital Ltd], genres[action, platformer, strategy])",Team17 Digital Ltd made a pretty great strategy action platformer called Worms: Reloaded. Do you know of it?
"recommend(name[Undertale], developer[tobyfox], player_perspective[bird view])","If you're looking for another one of tobyfox's bird view perspective games, you should check out Undertale. Have you heard of it?"
"recommend(name[Undertale], developer[tobyfox], genres[adventure, indie, role-playing])",Undertale is an indie adventure RPG from tobyfox. Have you ever played it?
"recommend(name[Undertale], has_linux_release[yes], has_mac_release[yes])","If you play games both on Mac and Linux, Undertale is definitely one to check out. Have you heard of it?"
"recommend(name[Undertale], esrb[E (for Everyone)], available_on_steam[yes])","If you're looking for a solid E rated game on Steam, Undertale might pique your interest. Have you ever heard of it?"
"recommend(name[Undertale], release_year[2015], genres[adventure, indie, role-playing])","If indie adventure role-playing games are your thing, you should check out Undertale from 2015. Have you heard of it, by any chance?"
"recommend(name[Uncharted 4: A Thief's End], developer[Naughty Dog], platforms[PlayStation])","Naughty Dog has released some pretty interesting PlayStation games, such as Uncharted 4: A Thief's End. Did you ever hear about it?"
"recommend(name[Uncharted 4: A Thief's End], genres[action-adventure, shooter], player_perspective[third person])","And of course, one of my favorite third person action adventure shooters is Uncharted 4: A Thief's End. Do you know of it?"
"recommend(name[Uncharted 4: A Thief's End], release_year[2016], platforms[PlayStation])","2016 had many great games released for the PlayStation, such as Uncharted 4: A Thief's End. Have you ever heard of it?"
"recommend(name[Uncharted 4: A Thief's End], esrb[T (for Teen)], genres[action-adventure, shooter])","If you're looking for an action-adventure shooter that's suitable for teenagers, Uncharted 4: A Thief's End has got a T rating and is pretty good. Have you heard about it before?"
"recommend(name[Uncharted 4: A Thief's End], player_perspective[third person], platforms[PlayStation])",One of my favorite PlayStation games with a third person perspective is Uncharted 4: A Thief's End. Do you know of it?
