mr,ref
"give_opinion(name[Need for Speed: Shift], developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation])","Personally, I thought that Need for Speed: Shift was kind of average. Slightly Mad Studios is a competent developer, but I'm not a huge fan of this driving/racing simulator genre, so that held it back some."
"give_opinion(name[Need for Speed: Shift], esrb[E (for Everyone)], rating[average], platforms[PlayStation])","Need for Speed: Shift was okay in my view. I'm happy it's on PlayStation since that's my favorite console, but I think the E rating really held the game back in terms of story and content."
"give_opinion(name[Need for Speed: Shift], rating[average], player_perspective[first person], has_multiplayer[yes])","I thought Need for Speed: Shift was mediocre. It's got multiplayer, which is always a plus for me, but I prefer games that aren't from a first person perspective."
"give_opinion(name[Need for Speed: Shift], developer[Slightly Mad Studios], rating[average], has_multiplayer[yes])","Need for Speed: Shift was okay, I guess. It's got multiplayer, which is nice, but developer Slightly Mad Studios didn't really do enough with it."
"give_opinion(name[Need for Speed: Shift], rating[average], genres[driving/racing, simulation], player_perspective[first person])","I think Need for Speed: Shift was an okay game, but it's not gonna be one of my favorites. It's just that first person driving/racing simulators are, for me, a type of game I always find to be merely okay."
"give_opinion(name[Call of Duty: Advanced Warfare], rating[average], player_perspective[first person], platforms[PlayStation])","The first person perspective in Call of Duty: Advanced Warfare is pretty immersive, yet playing it on PlayStation was not very satisfying."
"give_opinion(name[Call of Duty: Advanced Warfare], rating[average], genres[action, shooter], has_multiplayer[yes])","I cannot say that Call of Duty: Advanced Warfare stands out from the pool of action shooters in any way. As usual, it's available for the PlayStation and comes with a multiplayer mode for competitive gaming."
"give_opinion(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], esrb[M (for Mature)], rating[average])","Sledgehammer Games did a decent job with Call of Duty: Advanced Warfare, yet with the ESRB rating of M it sometimes gets a bit unpleasant for me."
"give_opinion(name[Call of Duty: Advanced Warfare], release_year[2014], rating[average], player_perspective[first person])","For a 2014 game, I think Call of Duty: Advanced Warfare wasn't so fun to play from the first person perspective."
"give_opinion(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], rating[average], has_multiplayer[yes])","In my opinion, Sledgehammer Games messed up the multiplayer mode in Call of Duty: Advanced Warfare, though otherwise it was good enough."
"give_opinion(name[BioShock], developer[2K Boston], esrb[M (for Mature)], rating[good])","I rather enjoyed BioShock. Developer 2K Boston makes solid quality games, and the M rating gave it some nice grittyness."
"give_opinion(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter], player_perspective[first person])","I'm generally a fan of first person action-adventure shooters that also add role-playing elements, so I thought BioShock was pretty good."
"give_opinion(name[BioShock], rating[good], has_multiplayer[no], has_mac_release[yes])","I thought BioShock was fun. Its focus on being single-player only let it tell a nice story, and it's Mac release meant I was actually able to play it."
"give_opinion(name[BioShock], esrb[M (for Mature)], rating[good], available_on_steam[yes])","I liked BioShock a fair bit. It's M rating meant it was able to tackle some dark subject matter, and being on Steam made it super convenient to acquire."
"give_opinion(name[BioShock], rating[good], player_perspective[first person], platforms[PC])",BioShock was an enjoyable title I'd say. PC games like it are generally my preference and I enjoyed the first person perspective.
"give_opinion(name[The Wolf Among Us], developer[Telltale Games], rating[good], genres[adventure, point-and-click])","Telltale Games' point-and-click adventures are generally fun to play, so I liked The Wolf Among Us."
"give_opinion(name[The Wolf Among Us], esrb[M (for Mature)], rating[good], has_multiplayer[no])",I enjoyed The Wolf Among Us. It's omission of multiplayer and the M rating meant it was able to really focus on the single-player elements I enjoy in my games.
"give_opinion(name[The Wolf Among Us], rating[good], genres[adventure, point-and-click], available_on_steam[yes])","I thought The Wolf Among Us was pretty good. Point-and-click adventures are a classic genre, and it being on Steam made it convenient."
"give_opinion(name[The Wolf Among Us], rating[good], genres[adventure, point-and-click], player_perspective[third person])","I usually enjoy third person point-and-click adventure games, so I thought that The Wolf Among Us was fun."
"give_opinion(name[The Wolf Among Us], developer[Telltale Games], rating[good], platforms[PC])",I thought The Wolf Among Us was pretty good. The developer Telltale Games just knows how to make a quality PC game.
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])","I loved Mirror's Edge Catalyst, it was such an interesting take on the action-adventure fighting genre, especially for EA Digital Illusions CE."
"give_opinion(name[Mirror's Edge Catalyst], release_year[2016], rating[average], has_multiplayer[yes])","Mirror's Edge Catalyst was decent. Although a game from 2016, its multiplayer was fun."
"give_opinion(name[Mirror's Edge Catalyst], rating[average], player_perspective[first person], platforms[PlayStation])","Man, I thought Mirror's Edge Catalyst could have been so much better as a first person game for the PlayStation."
"give_opinion(name[Mirror's Edge Catalyst], esrb[T (for Teen)], rating[average], genres[action-adventure, fighting])","You usually don't see great action-adventure fighting games with a T rating, and I gotta say, Mirror's Edge Catalyst is no exception."
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], has_multiplayer[yes])","Oh man, Mirror's Edge Catalyst didn't live up to my expectations of a game by EA Digital Illusions CE. The multiplayer could have been so much better."
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], platforms[PC], available_on_steam[yes])",I like The Elder Scrolls V: Skyrim. It's one of the better games for the PC available on Steam.
"give_opinion(name[The Elder Scrolls V: Skyrim], release_year[2011], esrb[M (for Mature)], rating[good])","I know The Elder Scrolls V: Skyrim is an M rated game from 2011, but it's my favorite game from that year."
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], player_perspective[first person], available_on_steam[yes])","The Elder Scrolls V: Skyrim is pretty good. I enjoy the first person perspective in it, and I appreciate the game's availability on Steam."
"give_opinion(name[The Elder Scrolls V: Skyrim], developer[Bethesda Game Studios], rating[good], has_multiplayer[no])","Bethesda Game Studios did a good job with The Elder Scrolls V: Skyrim, the single-player campaign is so much fun."
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], has_linux_release[yes], has_mac_release[yes])",I was quite impressed that The Elder Scrolls V: Skyrim runs smoothly on both Mac and Linux.
"give_opinion(name[Sid Meier's Civilization V], developer[Firaxis Games], rating[good], has_multiplayer[yes])","I like multiplayer games like Sid Meier's Civilization V, and Firaxis Games is one of my favorite developers."
"give_opinion(name[Sid Meier's Civilization V], esrb[E 10+ (for Everyone 10 and Older)], rating[good], has_multiplayer[yes])","Sid Meier's Civilization V is a good game, especially because I can play with my kids since it's multiplayer and rated E 10+."
