name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Worms: Reloaded</b>,Year: <b>2010</b>,,Developer: <b>Team17 Digital Ltd</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>Undertale</b>,Year: <b>2015</b>,,Developer: <b>tobyfox</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>adventure, indie, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>Super Bomberman</b>,Year: <b>1993</b>,,Developer: <b>Hudson Soft</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>action, strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>Uncharted 4: A Thief's End</b>,Year: <b>2016</b>,,Developer: <b>Naughty Dog</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
<b>Age of Empires II: The Age of Kings</b>,Year: <b>1999</b>,,Developer: <b>Ensemble Studios</b>,ESRB content rating: <b>T (for Teen)</b>,,Genres: <b>real-time strategy</b>,Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
<b>Super Mario World</b>,Year: <b>1990</b>,,Developer: <b>Nintendo EAD</b>,ESRB content rating: <b>E (for Everyone)</b>,,Genres: <b>platformer</b>,Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo</b>,,,
<b>Crysis</b>,Year: <b>2007</b>,,Developer: <b>Crytek Frankfurt</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>Xbox</b>,,,
<b>Stronghold 2</b>,Year: <b>2005</b>,,Developer: <b>Firefly Studios</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>real-time strategy, simulation</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>Assetto Corsa</b>,Year: <b>2014</b>,,Developer: <b>Kunos Simulazioni</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>driving/racing, simulation, sport</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>no</b>
<b>The Legend of Zelda: Ocarina of Time</b>,Year: <b>1998</b>,,Developer: <b>Nintendo EAD</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>action-adventure, puzzle, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Nintendo</b>,,,
<b>RollerCoaster Tycoon</b>,Year: <b>1999</b>,,Developer: <b>MicroProse</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>simulation, strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>no</b>
<b>Portal 2</b>,Year: <b>2011</b>,,Developer: <b>Valve Corporation</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>platformer, puzzle, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
<b>Resident Evil 4</b>,Year: <b>2005</b>,,Developer: <b>Capcom Production Studio 4</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Nintendo</b>,,,
<b>Need for Speed: Most Wanted</b>,Year: <b>2005</b>,,Developer: <b>EA Redwood Shores</b>,ESRB content rating: <b>T (for Teen)</b>,,Genres: <b>driving/racing</b>,Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
