mr,ref
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], platforms[PlayStation])",I seem to recall that you enjoyed The Elder Scrolls V: Skyrim. Do you prefer playing games on the PlayStation?
"verify_attribute(name[The Elder Scrolls V: Skyrim], developer[Bethesda Game Studios], rating[good])",I remember that you enjoyed The Elder Scrolls V: Skyrim. Do you enjoy other games developed by Bethesda Game Studios?
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], player_perspective[first person])",I seem to recall that you thought The Elder Scrolls V: Skyrim was pretty good. Do you generally enjoy games with the first person perspective?
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], genres[adventure, role-playing])",I do recall that you enjoyed The Elder Scrolls V: Skyrim. Do you generally like adventure role-playing games?
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",I know you thought that the M rated The Elder Scrolls V: Skyrim was good. Do you generally prefer games that have the M (for Mature) rating?
"verify_attribute(name[Transport Tycoon], developer[Chris Sawyer], rating[average])",I see that you're so-so about Transport Tycoon. Is this your opinion for all games from Chris Sawyer?
"verify_attribute(name[Transport Tycoon], rating[average], has_multiplayer[no])",You clearly are ambivalent about Transport Tycoon. Is this because it doesn't have multiplayer?
"verify_attribute(name[Transport Tycoon], release_year[1994], rating[average])",Before you told me that you have a somewhat take it or leave it attitude toward Transport Tycoon. Is this the case for all games from 1994?
"verify_attribute(name[Transport Tycoon], rating[average], has_mac_release[no])",I've heard you're nonplussed about Transport Tycoon. Is this the case for all games that don't have a Mac release?
"verify_attribute(name[Transport Tycoon], rating[average], platforms[PC])",You seem kind of ambivalent about Transport Tycoon. Is this because it's only on PC?
"verify_attribute(name[BioShock], rating[good], platforms[Xbox])",I believe that you said you liked BioShock. Do you in general like to play games on the Xbox?
"verify_attribute(name[BioShock], esrb[M (for Mature)], rating[good])",I believe that you said you liked BioShock. Do you generally like games rated for mature audiences?
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])",I remember that you liked BioShock. Do you generally enjoy action-adventure shooters with role-playing elements?
"verify_attribute(name[BioShock], rating[good], has_multiplayer[no])",I seem to recall that you liked BioShock. Do you like single-player games in general?
"verify_attribute(name[BioShock], rating[good], player_perspective[first person])",I know that BioShock is a game you like. Is the first person player perspective a preference of yours in the games you play?
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor])",I remember you telling me that you didn't like Small World 2. Would you say you're overall not a fan of games by Days of Wonder?
"verify_attribute(name[Small World 2], rating[poor], genres[indie, trivia/board game])","If I remember correctly, you didn't like Small World 2. Is it the indie trivia/board genre that you don't find fun?"
"verify_attribute(name[Small World 2], rating[poor], has_multiplayer[yes])",I remember you told me earlier that you did not enjoy Small World 2. Is the multiplayer mode something that typically spoils your gaming experience?
"verify_attribute(name[Small World 2], rating[poor], has_linux_release[yes])","Previously you mentioned that you did not like Small World 2. Does it have to do with the Linux release, by any chance?"
"verify_attribute(name[Small World 2], rating[poor], available_on_steam[yes])","If I remember correctly, you told me earlier that you didn't like Small World 2. Are you in general not fond of playing games on Steam?"
"verify_attribute(name[Skyforge], release_year[2015], rating[poor])",You said you did not really like Skyforge. Is that the case for other games released in 2015 too?
"verify_attribute(name[Skyforge], rating[poor], player_perspective[third person])","If my memory is right, you said you didn't like Skyforge. Is the third person perspective something you don't like in games?"
"verify_attribute(name[Skyforge], developer[Allods Online], rating[poor])",You told me you dislike Skyforge. Do you feel like Allods Online makes a mess of games in general?
"verify_attribute(name[Skyforge], rating[poor], platforms[Xbox])",You told me that you don't like Skyforge. Is that also the case for other Xbox games?
"verify_attribute(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG])",You said you were not really into Skyforge. Do you find hack-and-slash adventure MMORPG games not interesting?
"verify_attribute(name[World of Warcraft], rating[good], platforms[PC])",You said you liked World of Warcraft. Is that your opinion for most PC games?
"verify_attribute(name[World of Warcraft], rating[good], has_mac_release[yes])",You previously told me you liked World of Warcraft. Do you normally expect games to have a Mac port for you to play them?
"verify_attribute(name[World of Warcraft], rating[good], player_perspective[third person])","You said you liked World of Warcraft, and so I wonder, is the third person view something you explicitly look for in games?"
"verify_attribute(name[World of Warcraft], developer[Blizzard Entertainment], rating[good])",You just said that you liked World of Warcraft. Are you a fan of most of the other games by Blizzard Entertainment too?
"verify_attribute(name[World of Warcraft], rating[good], genres[adventure, MMORPG])",In our conversation you mentioned liking World of Warcraft. Would you say the adventure MMORPG genre is one of your favorites?
"verify_attribute(name[The Forest of Doom], rating[average], genres[role-playing, text adventure])",So I know you found The Forest of Doom merely average. Is that how you feel about all role-playing text adventure games?
"verify_attribute(name[The Forest of Doom], developer[Tin Man Games], rating[average])",You said that you found The Forest of Doom to be so-so in quality. Do you feel similarly about the other games developed by Tin Man Games
"verify_attribute(name[The Forest of Doom], release_year[2014], rating[average])","So The Forest of Doom was just ok according to you. What about other games released in 2014, do you feel that way about most of them?"
"verify_attribute(name[The Forest of Doom], rating[average], has_multiplayer[no])","If I remember right, you once told me you found The Forest of Doom to be okay but not earth shattering or anything. Do you feel the same about most of the single-player games these days?"
"verify_attribute(name[The Forest of Doom], rating[average], platforms[PC])","So The Forest of Doom was a game that you, if I remember correctly, felt was of average quality. What about other games for the PC, do you feel the same about them?"
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], has_multiplayer[yes])",You've told me before that you love Uncharted 4: A Thief's End. Is that because you enjoy multiplayer games?
"verify_attribute(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent])",I know that Uncharted 4: A Thief's End is one of your favorite games. Do you enjoy all of Naughty Dog's games?
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], genres[action-adventure, shooter])","You are a big fan of Uncharted 4: A Thief's End, right? Do you find action-adventure shooters exciting in general?"
"verify_attribute(name[Uncharted 4: A Thief's End], esrb[T (for Teen)], rating[excellent])","You really like Uncharted 4: A Thief's End, don't you? Do you play a lot of T rated content?"
"verify_attribute(name[Uncharted 4: A Thief's End], rating[excellent], platforms[PlayStation])","You like Uncharted 4: A Thief's End a lot, I remember. Would you have even touched it though if it wasn't on the PlayStation?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], platforms[PlayStation])",I remember you once said Need for Speed: Most Wanted was quite fun. Do you like playing games on the PlayStation in general?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing])","You mentioned that Need for Speed: Most Wanted was pretty good. You must enjoy the driving/racing genre quite a bit then, right?"
"verify_attribute(name[Need for Speed: Most Wanted], developer[EA Redwood Shores], rating[good])","So hey, earlier you mentioned liking Need for Speed: Most Wanted. I'm curious, do you feel similarly about the other games developed by EA Redwood Shores?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], player_perspective[third person])",I know you mentioned liking Need for Speed: Most Wanted a fair amount. So you like games with a third person perspective?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], has_multiplayer[yes])","You said you thought Need for Speed: Most Wanted was a pretty good game, if I remember right. Do you like to play games with friends in multiplayer?"
"verify_attribute(name[Worms: Reloaded], rating[average], genres[action, platformer, strategy])",So I remember that Worms: Reloaded was a game you thought was decent but not great. Do you just find all strategy action platformers to be like that?
"verify_attribute(name[Worms: Reloaded], developer[Team17 Digital Ltd], rating[average])",You said Worms: Reloaded was thoroughly average. Do you feel the same way about the rest of the games developed by Team17 Digital Ltd too?
"verify_attribute(name[Worms: Reloaded], rating[average], platforms[PC])","You once said Worms: Reloaded was kinda okay, but nothing all that special. Is it perhaps because PC is not the platform of your choice?"
"verify_attribute(name[Worms: Reloaded], rating[average], player_perspective[side view])","So Worms: Reloaded was a game that you once said was fine, but that it didn't really stick out in any way. Do you feel like that about most games played from a side view perspective?"
"verify_attribute(name[Worms: Reloaded], release_year[2010], rating[average])","So, Worms: Reloaded is a game you thought was a perfectly okay but also very unremarkable video game. Do you think 2010 was not the best year for games?"
