name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,specifier,utterance
,,,,,,action-adventure,,,,,,,easy,Is there an easy action-adventure game out there that you would recommend?
,2018,,,,,,,,,,,,long,What recent game can you remember that has a nice long gameplay?
,,,,,,,,,PlayStation,,,,stunning,Do you know of a PlayStation game that has really stunning graphics?
,,,Hazelight Studios,,,,,,,,,,classic,Do you know of a game from Hazelight Studios that has a classic feel?
,,,,,,,third person,,,,,,smart,Do you know of a third-person game with smart AI?
,,,Rockstar North,,,,,,,,,,offensive,What's the most offensive game that Rockstar North has developed?
,,,,M (for Mature),,,,,,,,,gritty,Have you played any gritty M rated games lately?
,,,,,,,,,Xbox,,,,easiest,What's the easiest game you've played on the Xbox?
,,,,,,,first person,,,,,,oldest,"I'm curious, what's the oldest game you ever played that had a first person perspective?"
,2013,,,,,,,,,,,,longest,"Of the games released in 2013, which do you think was the longest?"
,,,Nintendo EAD,,,,,,,,,,classic,Do you know of a classic game developed by Nintendo EAD?
,,,,,,,,yes,,,,,interesting,What is the most interesting multiplayer game that you have ever played?
,1990,,,,,,,,,,,,challenging,What's the most challenging game from 1990 that you have played?
,,,,,,,side view,,,,,,easy,What easy side-view game do you think tops them all?
,,,,,,platformer,,,,,,,elaborate,What platformer game do you think has the most elaborate design?
,,,,,,,,,PC,,,,immersive,What is the most immersive game you have played on PC?
,2014,,,,,,,,,,,,terrible,What's the most terrible game that you played in the year 2014?
,,,,,,"adventure, indie",,,,,,,short,Do you know of any short FPS games?
,,,,,,,,no,,,,,epic,Do you know of any games with epic storylines that have mutiplayer elements?
,,,,,,,,,,,no,,cheap,Do you know of any cheap games that have been released for Linux?
,,,Bloober Team,,,,,,,,,,silliest,What do you think is the silliest game made by Bloober Team?
,,,,,,,,,PC,,,,expensive,What's the most expensive PC game you ever heard of?
,,,,,,"adventure, indie, point-and-click",,,,,,,shortest,What do you think is the shortest Steam game you ever played?
,,,,M (for Mature),,,,,,,,,unpleasant,"Out of all the games with an M rating, which do you think is the most unpleasant?"
,,,,,,,first person,,,,,,realistic,What do you think is the most realistic first person game out there?
,,,,E (for Everyone),,,,,,,,,goofy,"I'm trying to find a really goofy E rated game to play, do you have one you would suggest?"
,,,,,,,,,,yes,,,ugliest,What do you think is the ugliest game ever released on Steam?
,,,,,,,,,,,no,,favorite,What's your favorite game that you wish had a Linux release but sadly doesn't?
,,,,,,,,,PC,,,,quirky,What's a really quirky PC game that you played recently?
,,,SCS Software,,,,,,,,,,famous,What do you think is the most famous game developed by SCS Software?
,,,,,,,,yes,,,,,dull,Have you played a multiplayer game recently that was totally dull?
,2014,,,,,,,,,,,,disappointing,Was there any game released in 2014 that you found to be disappointing?
,,,,,,,,,PlayStation,,,,revolting,"I was wondering, was there any game for the PlayStation that you just felt was revolting?"
,,,,,,"simulation, sport",,,,,,,simple,Have you played any sports simulators lately that you would say are simple?
,,,,E 10+ (for Everyone 10 and Older),,,,,,,,,soothing,"I'm looking for an E 10+ rated game that is soothing, do you know of any?"
,,,Tin Man Games,,,,,,,,,,boring,"Out of all the games made by Tin Man Games, what do you think is the most boring?"
,,,,,,"role-playing, text adventure",,,,,,,shortest,What's the shortest role-playing text adventure game that you've played?
,,,,,,,,,,,,yes,addictive,Do you know a really addictive game that has a Mac release?
,,,,,,,,,PC,,,,funky,"I'm looking for a really funky game on the PC, do you know of a good one you could tell me about?"
,,,,,,,,,,,yes,,frightening,"I'm looking for a frightening game that I can play on Linux, is there one you could recommend to me?"
,,,,,,,,,Nintendo Switch,,,,great looking,What would you say is a great looking game for the Nintendo Switch?
,,,Overkill Software,,,,,,,,,,empowering,What do you think is a good example of a empowering game developed by Overkill Software?
,2013,,,,,,,,,,,,spectacular,Was there any game released in 2013 that you thought was spectacular?
,,,,,,,first person,,,,,,absorbing,Have you played any first person perspective games lately that you would say are really absorbing?
,,,,,,"role-playing, shooter",,,,,,,well balanced,"I'm hoping to play a shooter with role-playing elements that is well balanced, is there any you would recommend?"
,,,Valve Corporation,,,,,,,,,,funny,Do you know of a funny game developed by Valve Corporation?
,,,,,,,first person,,,,,,colorful,Have you played any colorful games with a first person perspective lately?
,,,,E 10+ (for Everyone 10 and Older),,,,,,,,,frightening,What's the most frightening game you know of that still managed to get an E 10+ rating?
,,,,,,,,,,yes,,,cheap,What cheap game that's on Steam right now would you suggest?
,2011,,,,,,,,,,,,unusual,What's an unusual game you have played that came out in 2011?
,,,,,,sport,,,,,,,in-depth,Are there any in-depth sport games that you've played lately?
,,,,,,,,,Xbox,,,,brand new,Do you remember the name of that brand new Xbox game?
,,,Neversoft Entertainment,,,,,,,,,,other,What other game developed by Neversoft Entertainment have you played?
,2001,,,,,,,,,,,,broken,What do you think was the most broken game that came out in 2001?
,,,,T (for Teen),,,,,,,,,scary,What do you think was a good example of a scary game that still only got a T rating from the ESRB?
,,,,,,,,,PlayStation,,,,weirdest,So what's the weirdest game you got for the PlayStation?
,,,,,,,,yes,,,,,addictive,"I'm looking for an addictive game with multiplayer, is there one you would recommend?"
,,,,E (for Everyone),,,,,,,,,other,What other E rated game can you recommend?
,2014,,,,,,,,,,,,favorite,So what is your favorite game that came out in 2014?
