mr,ref
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], player_perspective[third person])","Are you talking about the third person action-adventure shooter RPG, Anthem?"
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], player_perspective[third person])",Is the Anthem you're talking about the third person action-adventure shooter RPG?
"confirm(name[Anthem], exp_release_date[February 22, 2020], has_multiplayer[yes])","Do you mean Anthem, launching February 22, 2020 and with a multiplayer mode?"
"confirm(name[Anthem], exp_release_date[February 22, 2020], has_multiplayer[yes])","When you mention Anthem, are you referring to the multiplayer game that's supposed to come out on February 22, 2020?"
"confirm(name[Anthem], developer[BioWare], platforms[PlayStation])",Is the Anthem you're talking about the one developed by BioWare for the PlayStation?
"confirm(name[Anthem], developer[BioWare], platforms[PlayStation])",Do you mean the Anthem from BioWare on PlayStation?
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], has_multiplayer[yes])",Is the Anthem you're talking about the one that's a multiplayer action-adventure shooter RPG?
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], has_multiplayer[yes])",Are you talking about Anthem the multiplayer action adventure shooter RPG?
"confirm(name[Anthem], has_multiplayer[yes], platforms[PlayStation])","By Anthem, do you mean the one with multiplayer that got released for the PlayStation?"
"confirm(name[Anthem], has_multiplayer[yes], platforms[PlayStation])","Do you mean the multiplayer game on PlayStation, Anthem?"
"confirm(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design])",Is the Tomb Raider: The Angel of Darkness you're talking about the 2003 game that was made by Core Design?
"confirm(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design])","Do you mean Tomb Raider: The Angel of Darkness, the game from 2003, made by Core Design?"
"confirm(name[Tomb Raider: The Angel of Darkness], player_perspective[third person], platforms[PC])","Oh, you mean the third person PC game, Tomb Raider: The Angel of Darkness?"
"confirm(name[Tomb Raider: The Angel of Darkness], player_perspective[third person], platforms[PC])",I assume you're referring to the third person PC game Tomb Raider: The Angel of Darkness?
"confirm(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], has_mac_release[yes])",Is the Tomb Raider: The Angel of Darkness you're talking about the one that's got a T rating and a Mac release?
"confirm(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], has_mac_release[yes])","Do you mean Tomb Raider: The Angel of Darkness, the T rated Mac game?"
"confirm(name[Tomb Raider: The Angel of Darkness], has_multiplayer[no], has_linux_release[no])",Is the Tomb Raider: The Angel of Darkness you mentioned the one that's single-player only and doesn't have a Linux release?
"confirm(name[Tomb Raider: The Angel of Darkness], has_multiplayer[no], has_linux_release[no])",Are you talking about Tomb Raider: The Angel of Darkness? The single-player game that's not available on Linux?
"confirm(name[Tomb Raider: The Angel of Darkness], developer[Core Design], available_on_steam[yes])","Do you mean Core Design's Tomb Raider: The Angel of Darkness, available on Steam?"
"confirm(name[Tomb Raider: The Angel of Darkness], developer[Core Design], available_on_steam[yes])",Is the Tomb Raider: The Angel of Darkness you mentioned the one developed by Core Design that you can get on Steam?
"confirm(name[Worms: Reloaded], genres[action, platformer, strategy], platforms[PC])","Oh, do you mean Worms: Reloaded the PC action strategy platformer?"
"confirm(name[Worms: Reloaded], genres[action, platformer, strategy], platforms[PC])","By Worms: Reloaded, do you mean the one that's an action strategy platformer for the PC?"
"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])","Do you mean the Worms: Reloaded with a side view, released on Steam?"
"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])",Is the Worms: Reloaded you mentioned the one on Steam with the side view perspective?
"confirm(name[Worms: Reloaded], developer[Team17 Digital Ltd], platforms[PC])","When you talk about Worms: Reloaded, are you referring to the one for the PC that was made by Team17 Digital Ltd?"
