mr,ref
"suggest(name[Metro 2033], esrb[M (for Mature)], genres[action, role-playing, shooter])","Do you like action role-playing shooters that are rated M (for Mature), such as Metro 2033?"
"suggest(name[Metro 2033], esrb[M (for Mature)], genres[action, role-playing, shooter])",Do you like M rated action shooter RPGs like Metro 2033?
"suggest(name[Metro 2033], developer[4A Games], platforms[Xbox])",Do you like 4A Games' titles on Xbox such as Metro 2033?
"suggest(name[Metro 2033], developer[4A Games], platforms[Xbox])","So I was wondering, have you played any of the Xbox games that were developed by 4A Games, like for instance Metro 2033?"
"suggest(name[Metro 2033], release_year[2010], platforms[Xbox])","I'm wondering, have you played any 2010 Xbox games, like for example Metro 2033?"
"suggest(name[Metro 2033], release_year[2010], platforms[Xbox])",How do you feel about Xbox games from 2010 like Metro 2033?
"suggest(name[Metro 2033], genres[action, role-playing, shooter], has_multiplayer[no])",What do you think about single-player action RPG shooters like Metro 2033?
"suggest(name[Metro 2033], genres[action, role-playing, shooter], has_multiplayer[no])","Are you fond of single-player action shooter RPGs, like Metro 2033?"
"suggest(name[Metro 2033], release_year[2010], developer[4A Games])","Do you like 4A Games' games? Such as their 2010 effort, Metro 2033?"
"suggest(name[Metro 2033], release_year[2010], developer[4A Games])","So I was wondering, have you played any of the 2010 games developed by 4A Games, for instance Metro 2033?"
"suggest(name[Small World 2], release_year[2010], developer[Days of Wonder])","Do you enjoy games from Days of Wonder, such as 2010's Small World 2?"
"suggest(name[Small World 2], release_year[2010], developer[Days of Wonder])","I was wondering, do you also like the 2010 games developed by Days of Wonder, such as Small World 2?"
"suggest(name[Small World 2], genres[indie, trivia/board game], has_multiplayer[yes])","I was wondering, have you ever played a multiplayer game in the indie trivia/board game genre, such as Small World 2?"
"suggest(name[Small World 2], genres[indie, trivia/board game], has_multiplayer[yes])","Are you a fan of multiplayer indie trivia games, like Small World 2?"
"suggest(name[Small World 2], genres[indie, trivia/board game], platforms[PC])","So do you enjoy playing PC games in the indie trivia/board game genre, such as Small World 2?"
"suggest(name[Small World 2], genres[indie, trivia/board game], platforms[PC])","Do you think I would like the indie, trivia/board game, Small World 2 for PC?"
"suggest(name[Small World 2], release_year[2010], has_multiplayer[yes])",Do you like multiplayer games from 2010 like Small World 2?
"suggest(name[Small World 2], release_year[2010], has_multiplayer[yes])","Have you ever played a multiplayer game released in 2010, like for example Small World 2?"
"suggest(name[Small World 2], developer[Days of Wonder], platforms[PC])","I'm wondering, do you ever play any of the PC games developed by Days of Wonder, like for instance Small World 2?"
"suggest(name[Small World 2], developer[Days of Wonder], platforms[PC])","How do you feel about Days of Wonder's PC games, such as Small World 2?"
"suggest(name[The Sims], release_year[2000], developer[Maxis])","Have you ever played any of the games Maxis released in 2000, like for instance The Sims?"
"suggest(name[The Sims], release_year[2000], developer[Maxis])",Do you like Maxis' games from 2000 like The Sims?
"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])","I'm curious, have you ever played any strategy simulators for the PC, such as The Sims?"
"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])",Do you also like PC simulation strategy games like The Sims?
"suggest(name[The Sims], esrb[T (for Teen)], player_perspective[bird view])","Do you like T (for Teen) rated games that have a bird's eye view, like The Sims?"
"suggest(name[The Sims], esrb[T (for Teen)], player_perspective[bird view])",Do you normally play T rated bird view games like The Sims?
"suggest(name[The Sims], platforms[PC], available_on_steam[no])","Have you ever given any games on PC but not on Steam a try, like The Sims?"
"suggest(name[The Sims], platforms[PC], available_on_steam[no])","Do you ever play PC games that don't have Steam releases, like for example The Sims?"
"suggest(name[The Sims], release_year[2000], esrb[T (for Teen)])","Have you played any T rated games released in 2000, like for example The Sims?"
"suggest(name[The Sims], release_year[2000], esrb[T (for Teen)])","What do you think about rated T games from 2000, like The Sims?"
"suggest(name[Worms: Reloaded], release_year[2010], platforms[PC])",Do you like PC games from 2010 like Worms: Reloaded?
"suggest(name[Worms: Reloaded], release_year[2010], platforms[PC])","So now I'm curious, have you played any PC games that came out in 2010, such as Worms: Reloaded?"
"suggest(name[Worms: Reloaded], genres[action, platformer, strategy], player_perspective[side view])",Do you enjoy side view action platformer strategy games like Worms: Reloaded?
"suggest(name[Worms: Reloaded], genres[action, platformer, strategy], player_perspective[side view])","I was wondering, have you played any strategy action platformers with a side view perspective, like for example Worms: Reloaded?"
"suggest(name[Worms: Reloaded], developer[Team17 Digital Ltd], available_on_steam[yes])","Have you played any of Team17 Digital Ltd's lineup of games on Steam, such as Worms: Reloaded?"
"suggest(name[Worms: Reloaded], developer[Team17 Digital Ltd], available_on_steam[yes])",What do you think about Team17 Digital Ltd's games on Steam like Worms: Reloaded?
"suggest(name[Worms: Reloaded], player_perspective[side view], has_multiplayer[yes])",Are you a fan of multiplayer side view games like Worms: Reloaded?
"suggest(name[Worms: Reloaded], player_perspective[side view], has_multiplayer[yes])","Hey do you like multiplayer side view games, like Worms: Reloaded?"
"suggest(name[Worms: Reloaded], esrb[E 10+ (for Everyone 10 and Older)], genres[action, platformer, strategy])","I was wondering, do you enjoy playing E 10+ rated strategy action platformers, like for instance Worms: Reloaded?"
"suggest(name[Worms: Reloaded], esrb[E 10+ (for Everyone 10 and Older)], genres[action, platformer, strategy])",Do you enjoy E10+ action platformer strategy games like Worms: Reloaded?
"suggest(name[Rocket League], genres[sport, vehicular combat], player_perspective[third person])",Are you into third person sport games with vehicular combat like Rocket League?
"suggest(name[Rocket League], genres[sport, vehicular combat], player_perspective[third person])","I'm wondering, do you enjoy playing third person vehicular combat sport games, like Rocket League?"
"suggest(name[Rocket League], release_year[2015], developer[Psyonix])","Are you fond of any of the 2015 games that Psyonix developed, such as Rocket League?"
"suggest(name[Rocket League], release_year[2015], developer[Psyonix])",Are you into Psyonix? Have you tried out their 2015 hit Rocket League?
"suggest(name[Rocket League], esrb[E (for Everyone)], platforms[Xbox])","Do you have any experience playing E rated Xbox games, like for example Rocket League?"
"suggest(name[Rocket League], esrb[E (for Everyone)], platforms[Xbox])",Do you enjoy E rated Xbox games like Rocket League?
"suggest(name[Rocket League], release_year[2015], has_multiplayer[yes])",Do you like multiplayer games from 2015 like Rocket League?
"suggest(name[Rocket League], release_year[2015], has_multiplayer[yes])","What do you think of the multiplayer aspect of the 2015 release, Rocket League?"
"suggest(name[Rocket League], esrb[E (for Everyone)], genres[sport, vehicular combat])",Do you enjoy E rated sports games with vehicle combat like Rocket League?
"suggest(name[Rocket League], esrb[E (for Everyone)], genres[sport, vehicular combat])","I was wondering if you would recommend the sport vehicular combat game, Rocket League, even though its rated E?"
"suggest(name[Super Bomberman], genres[action, strategy], platforms[Nintendo])","I was wondering, have you played any action strategy games for the Nintendo, such as Super Bomberman?"
"suggest(name[Super Bomberman], genres[action, strategy], platforms[Nintendo])",Do you like action strategy games from Nintendo like Super Bomberman?
"suggest(name[Super Bomberman], release_year[1993], developer[Hudson Soft])","Now I have to ask, have you played any 1993 Hudson Soft games, such as Super Bomberman?"
"suggest(name[Super Bomberman], release_year[1993], developer[Hudson Soft])","What do you think about games from Hudson Soft, like the 1993 game Super Bomberman?"
"suggest(name[Super Bomberman], esrb[E (for Everyone)], player_perspective[bird view])","So I'm curious, have you played any E rated games with a bird view perspective, like for example Super Bomberman?"
"suggest(name[Super Bomberman], esrb[E (for Everyone)], player_perspective[bird view])",Are you a fan of E rated bird view games such as Super Bomberman?
"suggest(name[Super Bomberman], player_perspective[bird view], has_multiplayer[no])",Do you like bird view single-player games like Super Bomberman?
"suggest(name[Super Bomberman], player_perspective[bird view], has_multiplayer[no])","Have you ever played any single-player games that featured a bird view perspective, like Super Bomberman?"
"suggest(name[Super Bomberman], release_year[1993], esrb[E (for Everyone)])","Did you enjoy playing the 1993 release of Super Bomberman, becuase I heard that the E for Everyone rating was very limiting?"
"suggest(name[Super Bomberman], release_year[1993], esrb[E (for Everyone)])","Are you a fan of E rated classic games, like the 1993 hit Super Bomberman?"
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], platforms[PlayStation])",Are you a fan of vehicular combat games on the PlayStation like MotorStorm: Apocalypse?
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], platforms[PlayStation])","Are you fond of vehicular combat games for the PlayStation, such as MotorStorm: Apocalypse?"
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], has_multiplayer[yes])","I'm wondering, do you enjoy multiplayer vehicular combat games like MotorStorm: Apocalypse?"
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], has_multiplayer[yes])","I was wondering, do you enjoy multiplayer vehicular combat games, like for instance MotorStorm: Apocalypse?"
"suggest(name[MotorStorm: Apocalypse], developer[Evolution Studios], player_perspective[third person])",Have you had a chance to play Evolution Studios' new third person game MotorStorm: Apocalypse?
"suggest(name[MotorStorm: Apocalypse], developer[Evolution Studios], player_perspective[third person])",How do you feel about Evolution Studios' third person games like MotorStorm: Apocalypse?
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], player_perspective[third person])","Have you ever played a third person vehicular combat game, like MotorStorm: Apocalypse?"
